SpeNumeroOrdine|SpeNumeroProtocollo|SpeEtichettaCollo|SpeTrackingNumero|SpeDataImport|SpeRigaOrdine|SpeArtCodice|SpeArtDescrizione|SpeArtQta|COD
#24336|22566317|239849|24336|20170210|2|RB3A009312|ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte|1|0
#24336|22566317|239849|24336|20170210|3|RB3A014990|PLAY e GO-Roadmap-Sacco Portagiochi Circuito|1|0
#25010|22795317|242719|25010|20170216|1|RB3A015627|JET KIDS- BEDBOX BLUE-Lettino da viaggio treno e aereo blu|1|0
#25152|22953317|244219|25152|20170221|1|RB3A013837|BLADEeROSE-5060257465859-Leggings Rainbow 0-6m|1|0
#25152|22953317|244219|25152|20170221|2|RB3A013930|BLADEeROSE-5060257461622-Hoodie Star Red 2-3y|1|0
#25152|22953317|244219|25152|20170221|3|RB3A017340|SMOKO-UNIWEI-Lampada Unicorno Bianca Piccola|1|0
#24984|23148317|246039|24984|20170224|1|RB3A010904|CHILDHOME-CWNBCR-Marsupio da Mare in Neoprene Rosso|1|0
#25197|23401317|248339|25197|20170303|1|RB3A012433|LOVE LASTIC-B113-Love Lastic Sun|1|0
#25197|23401317|248339|25197|20170303|2|RB3A017984|SUPERGA-S003NB0DSN-SCARPE DISNEY TOPOLINO-33|1|0
#25143|23410317|248329|25143|20170303|1|RB3A012431|LOVE LASTIC-B111-Love Lastic Classic|1|0
#25143|23410317|248329|25143|20170303|2|RB3A013980|BLADEeROSE-5060257465613-Leggings Tractor 6-12m|1|0
#25143|23410317|248329|25143|20170303|3|RB3A017983|SUPERGA-S003NB0DSN-SCARPE DISNEY TOPOLINO-32|1|0
#25143|23410317|248329|25143|20170303|4|RB3A017411|BOON-B407-Balena Portaoggetti Per La Vasca|1|0
#25696|23883317|253779|25696|20170315|1|RB3A012953|HAPPY HOPPERZ-HHZ12-Gonfiabile Cavalcabile Medium Dino Viola|1|0
#25696|23883317|253779|25696|20170315|2|RB3A013777|BLADEeROSE-5060257466184-Leggings Pineapple 2-3y|1|0
#25696|23883317|253779|25696|20170315|3|RB3A013755|BLADEeROSE-5060257465835-Leggings Oheo Owl 2-3y|1|0
#25696|23883317|253779|25696|20170315|4|RB3A013980|BLADEeROSE-5060257465613-Leggings Tractor 6-12m|1|0
#25696|23883317|253779|25696|20170315|5|RB3A013643|BLADEeROSE-5060257461929-Leggings Fire engine 6-12m|1|0
#25696|23883317|253779|25696|20170315|6|RB3A012347|CUPCAKE BABIES-VDBB05-Cappello Anti Schiuma Blu|1|0
#25696|23883317|253779|25696|20170315|7|RB3A012346|CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa|1|0
#25696|23883317|253779|25696|20170315|8|RB3A017411|BOON-B407-Balena Portaoggetti Per La Vasca|1|0
#26710|24402317|259259|26710|20170324|1|RB3A008970|TYRRELL KATZ-Bicchiere con manici motori|1|0
#26710|24402317|259259|26710|20170324|2|RB3A008977|TYRRELL KATZ-Posate dinosauri|1|0
#26710|24402317|259259|26710|20170324|3|RB3A008983|TYRRELL KATZ-Vassoio con scomparti dinosauri|1|0
#26034|24581317|261969|26034|20170328|1|RB3A018492|GLOBBER-IDD455-100-Monopattino Evo 5 in 1 - Blu Scuro|1|0
#27179|25078317|267549|27179|20170405|1|RB3A010039|CHILDHOME-CWRSIT-Dondolo a forma di Vespa Tricolore|1|0
#27121|25224317|268929|27121|20170407|1|RB3A011305|KANGA CARE-KC-C4026SP-Pannolino Rumparooz Charlie|1|0
#27256|25386317|270609|27256|20170412|1|RB3A013057|BAMBOOM-104-000-004-AUTO FRESH MINI - carseat cover group 0+ GRIGIO-0|1|0
#27256|25386317|270609|27256|20170412|2|RB3A009313|ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde|1|0
#27256|25386317|270609|27256|20170412|3|RB3A013063|BAMBOOM-104-108-033-BAGNO DUO MUSLIN Hooded towel + wash glove STRISCE VERDI|1|0
#27256|25386317|270609|27256|20170412|4|RB3A013062|BAMBOOM-104-108-032-BAGNO DUO MUSLIN Hooded towel + wash glove STRISCE GRIGIE-0|1|0
#27256|25386317|270609|27256|20170412|5|RB3A013064|BAMBOOM-104-108-034-BAGNO DUO MUSLIN Hooded towel + wash glove STRISCE ROSA-0|1|0
#27256|25386317|270609|27256|20170412|6|RB3A013162|BAMBOOM-104-027-029-CHANGING MAT COVER NEW VINTAGE 50x70cm SABBIA E BIANCO-0|1|0
#27686|25452317|271369|27686|20170413|1|RB3A010022|CHILDHOME-CCFOF-Portaoggetti Multitasche Grigio e Fucsia|1|0
#27686|25452317|271369|27686|20170413|2|RB3A016476|ROCKETBABY-RBP16361-Cesto Passeggino Coniglio|1|0
#28106|25848317|276109|28106|20170421|1|RB3A017388|BABYBREZZA-FRP0045EU-Macchinetta Del Latte In Polvere|1|0
#27864|25854317|276119|27864|20170421|1|RB3A018736|BS-BTSGA196-Gioco BS XXL Bubbles|1|0
#27864|25854317|276119|27864|20170421|2|RB3A011907|PLAY e GO-flamingo-Sacco Portagiochi Flamingo|1|0
#27864|25854317|276119|27864|20170421|3|RB3A014892|ROCKETBABY-RBP16334-Scatola Portagiochi Zebra|1|0
#27864|25854317|276119|27864|20170421|4|RB3A014891|ROCKETBABY-RBP16333-Scatola Portagiochi Flamingo|1|0
#30158|27924317|301439|30158|20170525|1|RB3A016476|ROCKETBABY-RBP16361-Cesto Passeggino Coniglio|1|0
#30152|27925317|301449|30152|20170525|1|RB3A016476|ROCKETBABY-RBP16361-Cesto Passeggino Coniglio|1|0
#30145|27926317|301319|30145|20170525|1|RB3A009313|ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde|1|0
#30215|28504317|308369|30215|20170601|1|RB3A017876|PLAY e GO-Color_your_map-Sacco Portagiochi Da Colorare|1|0
#30215|28504317|308369|30215|20170601|2|RB3A013892|BLADEeROSE-5060257461899-Leggings Rocket 2-3y|1|0
#30215|28504317|308369|30215|20170601|3|RB3A019454|FUNKY BOX-FBTG01-Porta Salviettine Umidificate da Viaggio Funky Box Azzurro con Stella Bianca|1|0
#30215|28504317|308369|30215|20170601|4|RB3A013573|BLADEeROSE-5060257465774-Leggings Crazy Cat 1-2y|1|0
#30762A|29225317|314979|30762A|20170609|1|RB3A009943|A LITTLE LOVELY COMPANY-WSGW003-Stickers da Muro: Grow Wild|1|0
#30762A|29225317|314979|30762A|20170609|2|RB3A011092|COQ EN PATE-L16SACRUKMBELE-Sacca Elefante|1|0
#30762A|29225317|314979|30762A|20170609|3|RB3A007732|COQ EN PATE-L15SACRUKMBZEB-Sacca Zebra|1|0
#30762A|29225317|314979|30762A|20170609|4|RB3A019725|SUAVINEX-QS0240006-PULISCI SUCCHIETTO 14 SALV. MONO|1|0
#30762A|29225317|314979|30762A|20170609|5|RB3A020740|BUMBO-BMB403-Rialzo da Pavimento e Rialzo da Sedia 2 in 1 Rosso|1|0
#31091A|30187317|326859|31091A|20170621|1|RB3A019435|EFFII-5901832946151-Effii Copertina in Cotone Rosa|1|0
#31091A|30187317|326859|31091A|20170621|10|RB3A020717|DRINK IN THE BOX-1908BLPM-Borraccia con Cannuccia Integrata 235 ml Blu|1|0
#31091A|30187317|326859|31091A|20170621|11|RB3A019663|FUNKIT WORLD-FBE-71-Funkit World Frisbee in Silicone Blu|1|0
#31091A|30187317|326859|31091A|20170621|12|RB3A018724|BS-BTSGA015-Gioco BS Waterball|1|0
#31091A|30187317|326859|31091A|20170621|13|RB3A020266|DAIKOS-SQD217TU50-Pinna da Squalo Rossa|1|0
#31091A|30187317|326859|31091A|20170621|14|RB3A020264|DAIKOS-SQD217TU10-Pinna da Squalo Nera|1|0
#31091A|30187317|326859|31091A|20170621|15|RB3A016476|ROCKETBABY-RBP16361-Cesto Passeggino Coniglio|1|0
#31091A|30187317|326859|31091A|20170621|16|RB3A011627|BIG MOUTH-BMPFPA-Ciambellone gonfiabile XXL Ananas|1|0
#31091A|30187317|326859|31091A|20170621|17|RB3A019753|SUNNYLIFE-SULARMCR-Inflatable Arm Band Crabby|1|0
#31091A|30187317|326859|31091A|20170621|18|RB3A011637|BIG MOUTH-BMBTPI-Telo da mare XXL Pizza|1|0
#31091A|30187317|326859|31091A|20170621|19|RB3A012553|ROCKETBABY-RBP16342-Cappellino SnapBack Kid Blu|1|0
#31091A|30187317|326859|31091A|20170621|2|RB3A012556|ELODIE DETAILS-103500-Sacco Passeggino Bedouin Stories|1|0
#31091A|30187317|326859|31091A|20170621|20|RB3A020791|CUDDLEDRY-CRR01-Accappatoio Dinosauro CuddleRoar|1|0
#31091A|30187317|326859|31091A|20170621|21|RB3A018640|LITTLELIFE-L10880-Zaino Littlelife 1-3 anni Coccodrillo|1|0
#31091A|30187317|326859|31091A|20170621|22|RB3A017487|EFFII-5901832944676-Cuscino Allattamento Luna Cipria XXL|1|0
#31091A|30187317|326859|31091A|20170621|3|RB3A017419|EFFII-5901832942719-Trapunta Avvolgente Neonato Double Face Conigli Grigi e Pois Rosa|1|0
#31091A|30187317|326859|31091A|20170621|4|RB3A008897|TYRRELL KATZ-Borraccia Giungla|1|0
#31091A|30187317|326859|31091A|20170621|5|RB3A010165|CHILDHOME-WAKWM-Fasciatoio Graduato Bianco|1|0
#31091A|30187317|326859|31091A|20170621|6|RB3A019457|FUNKY BOX-FBTG09-Porta Salviettine Umidificate da Viaggio Funky Box Bianco con Stella Argento|1|0
#31091A|30187317|326859|31091A|20170621|7|RB3A010021|CHILDHOME-CCFNBPG-Zaino Fasciatoio Grigio in Feltro|1|0
#31091A|30187317|326859|31091A|20170621|8|RB3A019602|BABY ELEPHANT EARS-7005-Baby Elephant Ears Cuscino Ergonomico Luxe Rosa Pastello|1|0
#31091A|30187317|326859|31091A|20170621|9|RB3A019752|SUNNYLIFE-SU8STWPI-Pineapple Honeycomb Straws|1|0
#31028|30215317|328089|31028|20170621|1|RB3A019900|SKIP HOP-500100-Paci Egg|1|0
#31028|30215317|328089|31028|20170621|3|RB3A019707|SUAVINEX-QS005DA04-DUCCIO STERILIZZACIUCCIO ARANCIONE|1|0
#31028|30215317|328089|31028|20170621|4|RB3A018962|NOPPIES-74346_C140-Noppies Cappello da Sole Blu con Squali Baby-0-3 Mesi|1|0
#31028|30215317|328089|31028|20170621|5|RB3A011317|KANGA CARE-KC-KRWETB_OS-S032-Wet Bag Portapannolini Nautical|1|0
#31028|30215317|328089|31028|20170621|6|RB3A011293|KANGA CARE-KC-KRRUMPSOS-S032-Pannolino Rumparooz Nautical|1|0
#31028|30215317|328089|31028|20170621|8|RB3A020264|DAIKOS-SQD217TU10-Pinna da Squalo Nera|1|0
#31028|30349317|328949|31028|20170623|2|RB3A017518|LILIPUTI-2006002020068-Marsupio Rainbow Line Lavedering|1|0
#31028|30680317|333089|31028|20170628|7|RB3A020170|DIAPERCHAMP-DCM-Pattumiera Mangiapannolini Intrappolaodori Medium|1|0
#31028|30743317|333959|31028|20170629|9|RB3A020763|DUUKIES BEACH SOCKS-JDO-32-33-Calze in Neoprene Jack Blu Scuro e Arancione-32-33|1|0
